n° observation,phase,AX Vel from a,AX Vel from b,AX Vel from c,AX Vel from d,HD 68395 from b,HD 68395 from c,HD 68395 from d
3,0.5004113170434721,8.073712655564993,8.09345679982216,8.016287664398687,8.071662711654692,8.119744144257167,8.042575008833694,8.097950056089699
3,0.5004113170434721,8.085632287032789,8.110683140250194,8.022085523994038,8.064540069402366,8.125050853217402,8.036453236961249,8.078907782369576
3,0.5004113170434721,7.9782226873909625,7.987108750895223,7.9288935447876945,7.975369905685536,8.10888606350426,8.050670857396732,8.097147218294573
3,0.5004113170434721,7.991928712834229,8.015344764611456,7.920588127374072,7.992582597035881,8.123416051777227,8.028659414539844,8.100653884201652
3,0.5007969868220243,8.046017208607159,8.071689266330308,8.005915507842223,8.049778650146706,8.125672057723149,8.059898299235064,8.103761441539547
3,0.5007969868220243,7.978933999507978,8.011926120196586,7.9319868519609775,7.985246361385922,8.132992120688607,8.053052852453,8.106312361877944
3,0.5007969868220243,8.011210361587443,8.050216358384292,7.96543450469754,8.03784720653006,8.139005996796849,8.054224143110096,8.126636844942615
3,0.5007969868220243,8.003094701276314,8.000615300078566,7.89007136816391,7.969381288385173,8.09752059880225,7.986976666887594,8.066286587108857
3,0.5007969868220243,7.99213084980198,7.997922375786133,7.920016746544552,7.986841115220966,8.105791525984152,8.027885896742571,8.094710265418986
4,0.8768251345891258,8.256351615683736,8.31083180066657,8.254292373706198,8.29011717417599,8.154480184982832,8.097940758022462,8.133765558492252
4,0.8768251345891258,8.298324376194282,8.321696817469908,8.251996182870196,8.283080065859025,8.123372441275627,8.053671806675915,8.084755689664743
4,0.8768251345891258,8.211579666253511,8.304982642983408,8.238732651890285,8.269567129601503,8.193402976729896,8.127152985636773,8.157987463347993
4,0.877210804547758,8.195334856557976,8.354217238546529,8.284291668810043,8.328665032066382,8.258882381988554,8.188956812252068,8.233330175508407
4,0.877210804547758,8.30071829273718,8.320253956448962,8.240924299132445,8.285227305321813,8.11953566371178,8.040206006395263,8.084509012584633
4,0.877210804547758,8.296354627248276,8.301800550021554,8.230606720340848,8.290679181777953,8.105445922773278,8.034252093092572,8.094324554529678
4,0.877210804547758,8.262792134035294,8.3095788802955,8.229253719513546,8.27660243636956,8.146786746260208,8.066461585478251,8.113810302334267
4,0.8775964743263103,8.255901182065559,8.339109019626925,8.255720484659037,8.292195886184764,8.183207837561365,8.099819302593477,8.136294704119205
4,0.8775964743263103,8.257118619576122,8.329192172420498,8.252419642401925,8.304333424065517,8.172073552844378,8.095301022825803,8.147214804489394
4,0.8775964743263103,8.263918928761212,8.332777568443895,8.249201113552303,8.306379459664152,8.168858639682682,8.085282184791089,8.14246053090294
5,0.2516962726613201,8.335291648113758,8.369032287437674,8.292330628197064,8.33316836949775,8.133740639323914,8.057038980083304,8.097876721383992
5,0.2516962726613201,8.317408669727714,8.3400967269385,8.272096591292069,8.307724350077578,8.122688057210786,8.054687921564355,8.090315680349866
5,0.2516962726613201,8.31784676868491,8.349837257969504,8.27035164827518,8.337385591049305,8.131990489284593,8.05250487959027,8.119538822364394
5,0.2516962726613201,8.294687295784398,8.304446169945702,8.28008537218392,8.337224495900976,8.109758874161304,8.085398076399523,8.142537200116578
5,0.2516962726613201,8.296908081103602,8.34471406996575,8.300399001389142,8.32767690540799,8.147805988862148,8.103490920285541,8.13076882430439
5,0.2516962726613201,8.306521574814626,8.282716559935984,8.28072051685788,8.338228017712522,8.07619498512136,8.074198942043253,8.131706442897896
5,0.2516962726613201,8.32924249207271,8.33697833526405,8.2954698066435,8.34475627410989,8.107735843191339,8.066227314570787,8.11551378203718
5,0.2520819426199523,8.318221026994843,8.331215582212318,8.270702942892132,8.334123358010503,8.112994555217476,8.052481915897289,8.11590233101566
5,0.2520819426199523,8.352704049426944,8.360045184054737,8.291388144512272,8.350819704600573,8.107341134627793,8.038684095085326,8.098115655173629
5,0.2520819426199523,8.337092858797543,8.365821810682284,8.29622349953977,8.345893005232389,8.12872895188474,8.059130640742227,8.108800146434845
6,0.6350521483800549,8.175649474892705,8.18001033669065,8.108297999112711,8.153479688354375,8.104360861797945,8.032648524220006,8.07783021346167
6,0.6350521483800549,8.161212559730869,8.168774365686549,8.109386637159592,8.160580240540062,8.10756180595568,8.048174077428722,8.099367680809193
6,0.6350521483800549,8.167248552441144,8.186017010235282,8.131678866435433,8.15889842365549,8.118768457794138,8.064430313994288,8.091649871214345
6,0.6354378183386871,8.204823523101506,8.176848523656046,8.148331036343565,8.188681892161068,8.07202500055454,8.04350751324206,8.083858369059563
6,0.6354378183386871,8.17334033968525,8.175179522116636,8.10312654835857,8.169877769122808,8.101839182431386,8.02978620867332,8.096537429437557
6,0.6354378183386871,8.205787942149307,8.237415337541073,8.145737714046478,8.201192122787607,8.131627395391765,8.039949771897168,8.0954041806383
6,0.6354378183386871,8.17444193537014,8.181856132562185,8.138337303496607,8.174927805013853,8.107414197192044,8.063895368126467,8.100485869643713
6,0.6354378183386871,8.207339700659086,8.249495627010017,8.139874026788961,8.200633031013046,8.14215592635093,8.032534326129875,8.09329333035396
6,0.6358234882973193,8.205691438866436,8.204628081109776,8.13817471507026,8.193591879277243,8.09893664224334,8.032483276203823,8.087900440410806
6,0.6358234882973193,8.185017798886134,8.221945597453793,8.127449720348281,8.172238728113077,8.136927798567656,8.042431921462144,8.087220929226943
7,0.37099438430141163,8.23242780295745,8.200854237915548,8.138530676048513,8.177779698712513,8.068426434958097,8.006102873091061,8.045351895755061
7,0.3721513939972283,8.202506176598483,8.2152560235445,8.190651472192203,8.228198040488156,8.112749846946016,8.08814529559372,8.125691863889672
7,0.3721513939972283,8.186997972492193,8.219951448497783,8.137686396625925,8.183619000975023,8.13295347600559,8.050688424133732,8.09662102848283
