date [HJD],V [mag],V-B [mag],source,note
2443881.0001,8.189,,Barrell,Johnson V
2443881.0073,8.194,,Barrell,Johnson V
2443881.0132,8.177,,Barrell,Johnson V
2443881.0182,8.177,,Barrell,Johnson V
2443881.0236,8.182,,Barrell,Johnson V
2443881.0288,8.178,,Barrell,Johnson V
2443881.0339,8.182,,Barrell,Johnson V
2443881.0522,8.183,,Barrell,Johnson V
2443879.1389,8.18,,Barrell,Johnson V
2443879.1444,8.178,,Barrell,Johnson V
2443879.1505,8.188,,Barrell,Johnson V
2443879.1563,8.18,,Barrell,Johnson V
2443879.1621,8.179,,Barrell,Johnson V
2443879.1713,8.19,,Barrell,Johnson V
2443879.1771,8.186,,Barrell,Johnson V
2443879.1831,8.171,,Barrell,Johnson V
2443879.189,8.186,,Barrell,Johnson V
2443879.1942,8.189,,Barrell,Johnson V
2443881.1584,8.172,,Barrell,Johnson V
2443881.1627,8.164,,Barrell,Johnson V
2443881.1674,8.182,,Barrell,Johnson V
2443881.1721,8.168,,Barrell,Johnson V
2443881.1768,8.16,,Barrell,Johnson V
2443881.1813,8.18,,Barrell,Johnson V
2443881.1869,8.177,,Barrell,Johnson V
2443881.192,8.184,,Barrell,Johnson V
2443881.1965,8.17,,Barrell,Johnson V
2443881.2008,8.171,,Barrell,Johnson V
2443881.2053,8.172,,Barrell,Johnson V
2443881.2093,8.177,,Barrell,Johnson V
2443881.2138,8.165,,Barrell,Johnson V
2443881.2184,8.183,,Barrell,Johnson V
2443881.2228,8.172,,Barrell,Johnson V
2443881.9583,8.284,,Barrell,Johnson V
2443881.9634,8.287,,Barrell,Johnson V
2443881.9691,8.288,,Barrell,Johnson V
2443881.9742,8.286,,Barrell,Johnson V
2443981.9812,8.279,,Barrell,Johnson V
2443881.9856,8.291,,Barrell,Johnson V
2443881.9903,8.29,,Barrell,Johnson V
2443881.9946,8.289,,Barrell,Johnson V
2443881.9993,8.287,,Barrell,Johnson V
2443882.0041,8.288,,Barrell,Johnson V
2443880.121,8.341,,Barrell,Johnson V
2443880.1264,8.341,,Barrell,Johnson V
2443880.1312,8.33,,Barrell,Johnson V
2443880.1365,8.329,,Barrell,Johnson V
2443880.1415,8.332,,Barrell,Johnson V
2443880.1464,8.342,,Barrell,Johnson V
2443880.1513,8.319,,Barrell,Johnson V
2443880.1565,8.335,,Barrell,Johnson V
2443880.106,8.325,,Barrell,Johnson V
2443880.1666,8.328,,Barrell,Johnson V
2443882.1361,8.306,,Barrell,Johnson V
2443882.1409,8.292,,Barrell,Johnson V
2443882.1462,8.311,,Barrell,Johnson V
2443882.1514,8.298,,Barrell,Johnson V
2443882.1562,8.296,,Barrell,Johnson V
2443882.1608,8.299,,Barrell,Johnson V
2443882.1656,8.287,,Barrell,Johnson V
2443882.1703,8.297,,Barrell,Johnson V
2443882.1756,8.292,,Barrell,Johnson V
2443882.1806,8.293,,Barrell,Johnson V
2443882.1855,8.281,,Barrell,Johnson V
2443882.1911,8.294,,Barrell,Johnson V
2443882.1962,8.298,,Barrell,Johnson V
2443882.2019,8.288,,Barrell,Johnson V
2443882.206,8.287,,Barrell,Johnson V
2443882.212,8.292,,Barrell,Johnson V
2443882.2171,8.294,,Barrell,Johnson V
2443882.2219,8.293,,Barrell,Johnson V
2443882.2266,8.301,,Barrell,Johnson V
2443905.1887,8.236,,Barrell,Johnson V
2443905.1947,8.244,,Barrell,Johnson V
2443905.1988,8.234,,Barrell,Johnson V
2443905.204,8.22,,Barrell,Johnson V
2443905.2095,8.24,,Barrell,Johnson V
2443905.2151,8.238,,Barrell,Johnson V
2443906.0989,8.35,,Barrell,Johnson V
2443906.1089,8.345,,Barrell,Johnson V
2443906.1262,8.367,,Barrell,Johnson V
2443906.1335,8.353,,Barrell,Johnson V
2443906.1378,8.343,,Barrell,Johnson V
2443906.1423,8.341,,Barrell,Johnson V
2443906.1473,8.346,,Barrell,Johnson V
2443906.1527,8.35,,Barrell,Johnson V
2443906.1582,8.338,,Barrell,Johnson V
2443906.1624,8.335,,Barrell,Johnson V
2443906.1671,8.353,,Barrell,Johnson V
2443906.1718,8.342,,Barrell,Johnson V
2443906.1797,8.338,,Barrell,Johnson V
2443906.1846,8.334,,Barrell,Johnson V
2443906.1893,8.338,,Barrell,Johnson V
2443906.1942,8.341,,Barrell,Johnson V
2443906.1993,8.337,,Barrell,Johnson V
2443906.2047,8.34,,Barrell,Johnson V
